region,area,sektor,target_count
Jakarta Fatmawati,SME Banking Center Jakarta Fatmawati,Lainnya,7
Jakarta Fatmawati,SME Banking Floor Jakarta Pondok Indah,Industri Pengolahan,2
Jakarta Fatmawati,SME Banking Floor Jakarta Pondok Indah,Perdagangan,7
Jakarta Fatmawati,SME Banking Floor Jakarta Pondok Indah,Penyediaan Akomodasi dan Penyediaan Makan Minum,4
Jakarta Fatmawati,SME Banking Floor Jakarta Pondok Indah,Lainnya,8
Jakarta Melawai,SME Banking Center Jakarta Melawai,Industri Pengolahan,4
Jakarta Melawai,SME Banking Center Jakarta Melawai,Perdagangan,6
Jakarta Melawai,SME Banking Center Jakarta Melawai,Penyediaan Akomodasi dan Penyediaan Makan Minum,7
Jakarta Melawai,SME Banking Center Jakarta Melawai,Lainnya,14
Jakarta Melawai,SME Banking Floor Jakarta Tebet Supomo,Industri Pengolahan,2
Jakarta Melawai,SME Banking Floor Jakarta Tebet Supomo,Perdagangan,4
Jakarta Melawai,SME Banking Floor Jakarta Tebet Supomo,Penyediaan Akomodasi dan Penyediaan Makan Minum,4
Jakarta Melawai,SME Banking Floor Jakarta Tebet Supomo,Lainnya,11
Bandung Asia Afrika,SME Banking Center Bandung Asia Afrika,Industri Pengolahan,11
Bandung Asia Afrika,SME Banking Center Bandung Asia Afrika,Konstruksi,3
Bandung Asia Afrika,SME Banking Center Bandung Asia Afrika,Perdagangan,7
Bandung Asia Afrika,SME Banking Center Bandung Asia Afrika,Penyediaan Akomodasi dan Penyediaan Makan Minum,4
Bandung Asia Afrika,SME Banking Center Bandung Asia Afrika,Lainnya,5
Bandung Asia Afrika,SME Banking Floor Bandung Braga,Industri Pengolahan,11
Bandung Asia Afrika,SME Banking Floor Bandung Braga,Konstruksi,2
Bandung Asia Afrika,SME Banking Floor Bandung Braga,Perdagangan,6
Bandung Asia Afrika,SME Banking Floor Bandung Braga,Penyediaan Akomodasi dan Penyediaan Makan Minum,3
Bandung Asia Afrika,SME Banking Floor Bandung Braga,Lainnya,6
Bandung Asia Afrika,SME Banking Floor Cirebon,Pertanian dan Perkebunan,8
Bandung Asia Afrika,SME Banking Floor Cirebon,Industri Pengolahan,1
Bandung Asia Afrika,SME Banking Floor Cirebon,Konstruksi,5
Bandung Asia Afrika,SME Banking Floor Cirebon,Perdagangan,2
Bandung Asia Afrika,SME Banking Floor Cirebon,Penyediaan Akomodasi dan Penyediaan Makan Minum,2
Bandung Asia Afrika,SME Banking Floor Cirebon,Lainnya,1
Bandung Asia Afrika,SME Banking Floor Karawang,Pertanian dan Perkebunan,3
Bandung Asia Afrika,SME Banking Floor Karawang,Industri Pengolahan,3
Bandung Asia Afrika,SME Banking Floor Karawang,Konstruksi,3
Bandung Asia Afrika,SME Banking Floor Karawang,Perdagangan,1
Bandung Asia Afrika,SME Banking Floor Karawang,Penyediaan Akomodasi dan Penyediaan Makan Minum,1
Bandung Asia Afrika,SME Banking Floor Karawang,Lainnya,3
Bandung Surapati,SME Banking Center Bandung Surapati,Industri Pengolahan,7
Bandung Surapati,SME Banking Center Bandung Surapati,Konstruksi,1
Bandung Surapati,SME Banking Center Bandung Surapati,Perdagangan,2
Bandung Surapati,SME Banking Center Bandung Surapati,Penyediaan Akomodasi dan Penyediaan Makan Minum,3
Bandung Surapati,SME Banking Center Bandung Surapati,Lainnya,2
Bandung Surapati,SME Banking Floor Sukabumi,Pertanian dan Perkebunan,2
Bandung Surapati,SME Banking Floor Sukabumi,Industri Pengolahan,1
Bandung Surapati,SME Banking Floor Sukabumi,Perdagangan,3
Bandung Surapati,SME Banking Floor Sukabumi,Penyediaan Akomodasi dan Penyediaan Makan Minum,1
Bandung Surapati,SME Banking Floor Sukabumi,Lainnya,1
Bandung Surapati,SME Banking Floor Tasikmalaya,Pertanian dan Perkebunan,4
Bandung Surapati,SME Banking Floor Tasikmalaya,Industri Pengolahan,7
Bandung Surapati,SME Banking Floor Tasikmalaya,Perdagangan,2
Bandung Surapati,SME Banking Floor Tasikmalaya,Penyediaan Akomodasi dan Penyediaan Makan Minum,1
Bandung Surapati,SME Banking Floor Tasikmalaya,Lainnya,1
Semarang,SME Banking Floor Kudus,Pertanian dan Perkebunan,1
Semarang,SME Banking Floor Kudus,Industri Pengolahan,2
Semarang,SME Banking Floor Kudus,Konstruksi,2
Semarang,SME Banking Floor Kudus,Perdagangan,1
Semarang,SME Banking Floor Kudus,Penyediaan Akomodasi dan Penyediaan Makan Minum,1
Semarang,SME Banking Floor Kudus,Lainnya,1
Semarang,SME Banking Center Semarang,Pertanian dan Perkebunan,2
Semarang,SME Banking Center Semarang,Industri Pengolahan,3
Semarang,SME Banking Center Semarang,Konstruksi,1
Semarang,SME Banking Center Semarang,Perdagangan,4
Semarang,SME Banking Center Semarang,Penyediaan Akomodasi dan Penyediaan Makan Minum,1
Semarang,SME Banking Center Semarang,Lainnya,1
Semarang,SME Banking Floor Semarang Pemuda,Pertanian dan Perkebunan,5
Semarang,SME Banking Floor Semarang Pemuda,Industri Pengolahan,4
Semarang,SME Banking Floor Semarang Pemuda,Konstruksi,4
Semarang,SME Banking Floor Semarang Pemuda,Perdagangan,5
Semarang,SME Banking Floor Semarang Pemuda,Penyediaan Akomodasi dan Penyediaan Makan Minum,1
Semarang,SME Banking Floor Semarang Pemuda,Lainnya,3
Semarang,SME Banking Floor Tegal,Pertanian dan Perkebunan,3
Semarang,SME Banking Floor Tegal,Industri Pengolahan,4
Semarang,SME Banking Floor Tegal,Konstruksi,1
Semarang,SME Banking Floor Tegal,Perdagangan,1
Semarang,SME Banking Floor Tegal,Penyediaan Akomodasi dan Penyediaan Makan Minum,1
Semarang,SME Banking Floor Tegal,Lainnya,1
Yogyakarta,SME Banking Floor Magelang,Pertanian dan Perkebunan,1
Yogyakarta,SME Banking Floor Magelang,Industri Pengolahan,1
Yogyakarta,SME Banking Floor Magelang,Perdagangan,2
Yogyakarta,SME Banking Floor Magelang,Penyediaan Akomodasi dan Penyediaan Makan Minum,1
Yogyakarta,SME Banking Floor Purwokerto,Pertanian dan Perkebunan,2
Yogyakarta,SME Banking Floor Purwokerto,Industri Pengolahan,5
Yogyakarta,SME Banking Floor Purwokerto,Konstruksi,1
Yogyakarta,SME Banking Floor Purwokerto,Perdagangan,3
